TIME,P1_TO_LAPTOP,P1_TO_P1,P1_TO_P2,P1_TO_P3,P1_TO_P4,P1_TO_P5,P2_TO_LAPTOP,P2_TO_P1,P2_TO_P2,P2_TO_P3,P2_TO_P4,P2_TO_P5,P3_TO_LAPTOP,P3_TO_P1,P3_TO_P2,P3_TO_P3,P3_TO_P4,P3_TO_P5,P4_TO_LAPTOP,P4_TO_P1,P4_TO_P2,P4_TO_P3,P4_TO_P4,P4_TO_P5,P5_TO_LAPTOP,P5_TO_P1,P5_TO_P2,P5_TO_P3,P5_TO_P4,P5_TO_P5
0.0,0.313,0.0,0.044,0.049,0.051,0.343,0.016,0.652,0.0,0.073,0.019,0.041,0.0,0.16399999999999998,0.071,0.0,0.5329999999999999,0.031,0.0,0.638,0.019,0.115,0.0,0.029,0.0,0.7190000000000001,0.003,0.053,0.026,0.0
1.0,0.127,0.0,0.043,0.033,0.057,0.74,0.019,0.223,0.0,0.07,0.034,0.654,0.001,0.173,0.084,0.0,0.5329999999999999,0.209,0.0,0.37,0.103,0.06,0.0,0.467,0.0,0.888,0.0,0.071,0.041,0.0
2.0,0.403,0.0,0.06,0.057,0.066,0.414,0.024,0.25,0.0,0.071,0.014,0.64,0.001,0.899,0.011,0.0,0.02,0.069,0.0,0.8,0.031,0.016,0.0,0.153,0.0,0.951,0.0,0.03,0.019,0.0
3.0,0.35100000000000003,0.0,0.053,0.057,0.063,0.476,0.027000000000000003,0.254,0.0,0.07,0.014,0.634,0.004,0.883,0.009000000000000001,0.0,0.033,0.071,0.0,0.826,0.014,0.01,0.0,0.15,0.0,0.975,0.001,0.019,0.004,0.0
4.0,0.139,0.0,0.043,0.039,0.057,0.723,0.014,0.263,0.0,0.051,0.027000000000000003,0.644,0.009000000000000001,0.224,0.079,0.0,0.471,0.217,0.0,0.589,0.054000000000000006,0.005,0.0,0.35100000000000003,0.0,0.889,0.004,0.071,0.036000000000000004,0.0
5.0,0.534,0.0,0.069,0.064,0.07,0.263,0.013,0.551,0.0,0.066,0.016,0.354,0.016,0.617,0.07,0.0,0.221,0.076,0.0,0.8859999999999999,0.037000000000000005,0.015,0.0,0.061,0.0,0.936,0.006999999999999999,0.041,0.016,0.0
6.0,0.613,0.0,0.071,0.071,0.071,0.173,0.001,0.994,0.0,0.001,0.003,0.001,0.0,0.986,0.0,0.0,0.0,0.014,0.0,0.994,0.0,0.005,0.0,0.001,0.006,0.905,0.001,0.024,0.064,0.0
7.0,0.599,0.0,0.063,0.071,0.071,0.196,0.011,0.919,0.0,0.028,0.021,0.02,0.024,0.556,0.17600000000000002,0.0,0.194,0.05,0.006,0.916,0.013,0.038,0.0,0.027000000000000003,0.01,0.8029999999999999,0.009000000000000001,0.056,0.123,0.0
8.0,0.586,0.0,0.057,0.071,0.071,0.214,0.014,0.847,0.0,0.046,0.057,0.036000000000000004,0.061,0.4,0.297,0.0,0.104,0.13699999999999998,0.043,0.7340000000000001,0.03,0.112,0.0,0.081,0.041,0.805,0.014,0.119,0.02,0.0
9.0,0.213,0.0,0.04,0.044,0.059,0.644,0.016,0.674,0.0,0.036000000000000004,0.044,0.23,0.029,0.383,0.073,0.0,0.027000000000000003,0.489,0.016,0.701,0.04,0.046,0.0,0.197,0.039,0.7509999999999999,0.016,0.165,0.03,0.0
10.0,0.14,0.0,0.043,0.04,0.057,0.72,0.029,0.624,0.0,0.032,0.041,0.274,0.029,0.266,0.084,0.0,0.014,0.607,0.006999999999999999,0.5710000000000001,0.096,0.034,0.0,0.29100000000000004,0.046,0.625,0.027000000000000003,0.195,0.107,0.0
11.0,0.14300000000000002,0.0,0.043,0.043,0.063,0.7090000000000001,0.026,0.825,0.0,0.028,0.079,0.043,0.013,0.843,0.03,0.0,0.02,0.094,0.0,0.84,0.024,0.097,0.0,0.039,0.219,0.262,0.006,0.064,0.45,0.0
12.0,0.23,0.0,0.049,0.049,0.07400000000000001,0.599,0.064,0.8009999999999999,0.0,0.022,0.07,0.043,0.009000000000000001,0.253,0.079,0.0,0.613,0.047,0.0,0.7879999999999999,0.037000000000000005,0.124,0.0,0.051,0.721,0.204,0.0,0.053,0.021,0.0
13.0,0.156,0.0,0.043,0.043,0.086,0.6729999999999999,0.056,0.7979999999999999,0.0,0.032,0.071,0.043,0.009000000000000001,0.229,0.08,0.0,0.6459999999999999,0.037000000000000005,0.0,0.733,0.026,0.189,0.0,0.053,0.727,0.201,0.0,0.056,0.016,0.0
14.0,0.13,0.0,0.053,0.09,0.071,0.6559999999999999,0.056,0.767,0.0,0.054000000000000006,0.08,0.043,0.026,0.2,0.07400000000000001,0.0,0.6709999999999999,0.029,0.0,0.8440000000000001,0.053,0.046,0.0,0.057,0.716,0.195,0.006999999999999999,0.055,0.027000000000000003,0.0
15.0,0.071,0.0,0.127,0.259,0.09,0.453,0.057,0.774,0.0,0.056,0.07,0.043,0.039,0.181,0.086,0.0,0.6659999999999999,0.029,0.0,0.868,0.057,0.018000000000000002,0.0,0.057,0.726,0.204,0.001,0.052000000000000005,0.017,0.0
16.0,0.067,0.0,0.103,0.247,0.077,0.506,0.026,0.813,0.0,0.056,0.064,0.041,0.031,0.33,0.09,0.0,0.509,0.04,0.0,0.87,0.049,0.031,0.0,0.05,0.626,0.28600000000000003,0.004,0.07,0.014,0.0
17.0,0.053,0.0,0.134,0.499,0.061,0.253,0.014,0.944,0.0,0.027000000000000003,0.014,0.0,0.0,0.999,0.001,0.0,0.0,0.0,0.0,0.976,0.0,0.016,0.0,0.009000000000000001,0.037000000000000005,0.899,0.021,0.042,0.0,0.0
18.0,0.043,0.0,0.153,0.614,0.06,0.13,0.023,0.637,0.0,0.096,0.157,0.087,0.094,0.519,0.16,0.0,0.044,0.183,0.001,0.6940000000000001,0.14,0.062,0.0,0.103,0.003,0.887,0.031,0.061,0.017,0.0
19.0,0.087,0.0,0.114,0.406,0.06,0.333,0.016,0.236,0.0,0.069,0.036000000000000004,0.644,0.054000000000000006,0.384,0.17,0.0,0.247,0.14400000000000002,0.0,0.85,0.054000000000000006,0.026,0.0,0.07,0.003,0.8079999999999999,0.014,0.081,0.094,0.0
20.0,0.141,0.0,0.043,0.044,0.057,0.7140000000000001,0.036000000000000004,0.503,0.0,0.107,0.036000000000000004,0.319,0.0,0.977,0.017,0.0,0.0,0.006,0.0,0.868,0.017,0.073,0.0,0.041,0.0,0.91,0.01,0.058,0.021,0.0
21.0,0.14300000000000002,0.0,0.04,0.047,0.057,0.713,0.013,0.921,0.0,0.026,0.021,0.019,0.004,0.467,0.06,0.0,0.431,0.037000000000000005,0.0,0.909,0.01,0.058,0.0,0.023,0.006,0.905,0.001,0.045,0.043,0.0
22.0,0.14400000000000002,0.0,0.041,0.043,0.057,0.7140000000000001,0.014,0.878,0.0,0.033,0.034,0.04,0.0,0.217,0.086,0.0,0.6409999999999999,0.056,0.0,0.907,0.026,0.03,0.0,0.037000000000000005,0.006999999999999999,0.7759999999999999,0.001,0.081,0.134,0.0
23.0,0.14300000000000002,0.0,0.043,0.043,0.057,0.7140000000000001,0.016,0.836,0.0,0.117,0.017,0.014,0.019,0.619,0.087,0.0,0.221,0.054000000000000006,0.0,0.948,0.009000000000000001,0.021,0.0,0.023,0.0,0.935,0.004,0.044,0.017,0.0
24.0,0.213,0.0,0.049,0.046,0.06,0.633,0.011,0.913,0.0,0.054000000000000006,0.011,0.01,0.004,0.614,0.053,0.0,0.31,0.019,0.0,0.971,0.003,0.016,0.0,0.01,0.0,0.962,0.0,0.028,0.01,0.0
25.0,0.16399999999999998,0.0,0.041,0.046,0.057,0.691,0.014,0.8959999999999999,0.0,0.031,0.03,0.029,0.0,0.2,0.093,0.0,0.657,0.05,0.0,0.897,0.041,0.022,0.0,0.04,0.006999999999999999,0.833,0.003,0.131,0.026,0.0
26.0,0.141,0.0,0.043,0.041,0.061,0.713,0.017,0.58,0.0,0.064,0.053,0.28600000000000003,0.001,0.183,0.086,0.0,0.604,0.126,0.0,0.769,0.053,0.014,0.0,0.16399999999999998,0.023,0.642,0.024,0.26,0.051,0.0
27.0,0.12,0.0,0.044,0.031,0.061,0.743,0.02,0.242,0.0,0.042,0.03,0.6659999999999999,0.014,0.78,0.034,0.0,0.016,0.156,0.0,0.574,0.057,0.001,0.0,0.369,0.014,0.727,0.019,0.192,0.049,0.0
28.0,0.139,0.0,0.041,0.04,0.07,0.71,0.016,0.213,0.0,0.054000000000000006,0.043,0.674,0.1,0.374,0.184,0.0,0.061,0.28,0.0,0.5379999999999999,0.097,0.013,0.0,0.35100000000000003,0.014,0.458,0.026,0.396,0.106,0.0
29.0,0.046,0.0,0.009000000000000001,0.017,0.024,0.904,0.016,0.2,0.0,0.039,0.03,0.716,0.019,0.086,0.044,0.0,0.021,0.83,0.0,0.52,0.087,0.009000000000000001,0.0,0.384,0.013,0.319,0.0,0.5489999999999999,0.119,0.0
30.0,0.117,0.0,0.039,0.04,0.061,0.743,0.019,0.211,0.0,0.049,0.034,0.687,0.024,0.394,0.096,0.0,0.041,0.444,0.0,0.588,0.057,0.002,0.0,0.353,0.011,0.269,0.069,0.443,0.209,0.0
31.0,0.141,0.0,0.043,0.041,0.057,0.7170000000000001,0.02,0.4,0.0,0.099,0.239,0.243,0.0,0.951,0.01,0.0,0.0,0.039,0.0,0.8029999999999999,0.051,0.016,0.0,0.13,0.016,0.575,0.016,0.163,0.23,0.0
32.0,0.14300000000000002,0.0,0.043,0.043,0.057,0.7140000000000001,0.003,0.435,0.0,0.08800000000000001,0.451,0.023,0.0,0.986,0.014,0.0,0.0,0.0,0.0,0.91,0.027000000000000003,0.021,0.0,0.041,0.004,0.898,0.0,0.08199999999999999,0.016,0.0
33.0,0.076,0.0,0.101,0.35700000000000004,0.063,0.403,0.016,0.584,0.0,0.129,0.227,0.044,0.0,0.996,0.004,0.0,0.0,0.0,0.0,0.908,0.033,0.022,0.0,0.037000000000000005,0.006,0.845,0.0,0.122,0.027000000000000003,0.0
34.0,0.043,0.0,0.154,0.599,0.061,0.14300000000000002,0.006,0.309,0.0,0.073,0.5660000000000001,0.046,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.905,0.023,0.028,0.0,0.044,0.004,0.884,0.006,0.052000000000000005,0.054000000000000006,0.0
35.0,0.037000000000000005,0.0,0.14400000000000002,0.326,0.154,0.339,0.02,0.349,0.0,0.087,0.509,0.036000000000000004,0.0,0.999,0.001,0.0,0.0,0.0,0.0,0.898,0.033,0.026,0.0,0.043,0.014,0.725,0.0,0.225,0.036000000000000004,0.0
36.0,0.043,0.0,0.153,0.474,0.077,0.253,0.027000000000000003,0.455,0.0,0.119,0.343,0.056,0.009000000000000001,0.883,0.021,0.0,0.066,0.021,0.0,0.8859999999999999,0.039,0.03,0.0,0.046,0.014,0.6559999999999999,0.001,0.299,0.029,0.0
