TIME,P1_TO_LAPTOP,P1_TO_P1,P1_TO_P2,P1_TO_P3,P1_TO_P4,P1_TO_P5,P1_TO_P6,P1_TO_P7,P2_TO_LAPTOP,P2_TO_P1,P2_TO_P2,P2_TO_P3,P2_TO_P4,P2_TO_P5,P2_TO_P6,P2_TO_P7,P3_TO_LAPTOP,P3_TO_P1,P3_TO_P2,P3_TO_P3,P3_TO_P4,P3_TO_P5,P3_TO_P6,P3_TO_P7,P4_TO_LAPTOP,P4_TO_P1,P4_TO_P2,P4_TO_P3,P4_TO_P4,P4_TO_P5,P4_TO_P6,P4_TO_P7,P5_TO_LAPTOP,P5_TO_P1,P5_TO_P2,P5_TO_P3,P5_TO_P4,P5_TO_P5,P5_TO_P6,P5_TO_P7,P6_TO_LAPTOP,P6_TO_P1,P6_TO_P2,P6_TO_P3,P6_TO_P4,P6_TO_P5,P6_TO_P6,P6_TO_P7,P7_TO_LAPTOP,P7_TO_P1,P7_TO_P2,P7_TO_P3,P7_TO_P4,P7_TO_P5,P7_TO_P6,P7_TO_P7
0.0,0.033,0.0,0.058,0.14300000000000002,0.026,0.529,0.0,0.011,0.006,0.015,0.0,0.615,0.087,0.034,0.024,0.019,0.209,0.094,0.129,0.0,0.239,0.061,0.037000000000000005,0.031,0.004,0.042,0.335,0.359,0.0,0.031,0.02,0.009000000000000001,0.003,0.018000000000000002,0.228,0.319,0.171,0.0,0.037000000000000005,0.024,0.023,0.114,0.046,0.113,0.481,0.014,0.0,0.009000000000000001,0.016,0.077,0.156,0.327,0.061,0.13699999999999998,0.026,0.0
1.0,0.029,0.0,0.14300000000000002,0.519,0.034,0.24,0.009000000000000001,0.027000000000000003,0.006,0.017,0.0,0.794,0.083,0.036000000000000004,0.033,0.031,0.006999999999999999,0.092,0.131,0.0,0.057,0.046,0.07,0.597,0.011,0.073,0.223,0.442,0.0,0.076,0.07,0.106,0.013,0.006999999999999999,0.16399999999999998,0.232,0.486,0.0,0.069,0.03,0.03,0.14,0.061,0.152,0.58,0.021,0.0,0.016,0.021,0.102,0.191,0.408,0.069,0.166,0.044,0.0
2.0,0.054000000000000006,0.0,0.234,0.5760000000000001,0.047,0.016,0.013,0.06,0.02,0.035,0.0,0.316,0.273,0.269,0.047,0.04,0.02,0.095,0.225,0.0,0.061,0.051,0.064,0.483,0.019,0.059,0.17800000000000002,0.471,0.0,0.07,0.071,0.131,0.063,0.004,0.076,0.154,0.177,0.0,0.389,0.13699999999999998,0.006,0.14400000000000002,0.073,0.173,0.561,0.027000000000000003,0.0,0.016,0.029,0.095,0.183,0.434,0.07,0.147,0.043,0.0
3.0,0.043,0.0,0.181,0.366,0.027000000000000003,0.32,0.01,0.053,0.031,0.07400000000000001,0.0,0.316,0.097,0.344,0.101,0.036000000000000004,0.0,0.191,0.289,0.0,0.267,0.14,0.049,0.064,0.036000000000000004,0.052000000000000005,0.236,0.287,0.0,0.099,0.08,0.211,0.051,0.006,0.062,0.132,0.191,0.0,0.416,0.141,0.001,0.612,0.108,0.207,0.043,0.014,0.0,0.014,0.02,0.086,0.187,0.449,0.07,0.149,0.04,0.0
4.0,0.041,0.0,0.079,0.13699999999999998,0.0,0.71,0.0,0.033,0.057,0.07,0.0,0.35200000000000004,0.14,0.08,0.154,0.147,0.004,0.152,0.325,0.0,0.297,0.12,0.057,0.044,0.024,0.071,0.081,0.677,0.0,0.067,0.047,0.033,0.037000000000000005,0.017,0.066,0.162,0.201,0.0,0.386,0.131,0.056,0.423,0.124,0.269,0.079,0.029,0.0,0.021,0.011,0.043,0.069,0.105,0.056,0.473,0.243,0.0
5.0,0.159,0.0,0.098,0.185,0.016,0.47,0.009000000000000001,0.064,0.023,0.028,0.0,0.684,0.031,0.013,0.021,0.2,0.011,0.14,0.448,0.0,0.121,0.187,0.063,0.03,0.013,0.069,0.266,0.564,0.0,0.046,0.024,0.019,0.287,0.028,0.157,0.26,0.06,0.0,0.129,0.08,0.031,0.08199999999999999,0.146,0.34700000000000003,0.344,0.024,0.0,0.024,0.023,0.08,0.121,0.27,0.119,0.326,0.061,0.0
6.0,0.036000000000000004,0.0,0.121,0.794,0.006999999999999999,0.006999999999999999,0.001,0.033,0.0,0.0,0.0,0.987,0.001,0.0,0.0,0.011,0.006999999999999999,0.134,0.142,0.0,0.153,0.504,0.044,0.016,0.016,0.094,0.358,0.466,0.0,0.031,0.016,0.02,0.563,0.03,0.094,0.172,0.0,0.0,0.114,0.027000000000000003,0.014,0.061,0.249,0.52,0.077,0.041,0.0,0.037000000000000005,0.02,0.078,0.115,0.27,0.153,0.314,0.05,0.0
7.0,0.049,0.0,0.154,0.319,0.019,0.424,0.011,0.024,0.004,0.006,0.0,0.941,0.01,0.0,0.01,0.029,0.014,0.123,0.238,0.0,0.127,0.443,0.036000000000000004,0.019,0.006,0.037000000000000005,0.458,0.443,0.0,0.031,0.014,0.01,0.581,0.036000000000000004,0.098,0.152,0.0,0.0,0.109,0.024,0.04,0.079,0.093,0.2,0.5489999999999999,0.021,0.0,0.017,0.014,0.04,0.096,0.206,0.03,0.564,0.05,0.0
8.0,0.04,0.0,0.085,0.187,0.001,0.667,0.003,0.017,0.033,0.023,0.0,0.279,0.469,0.103,0.049,0.046,0.016,0.104,0.182,0.0,0.067,0.061,0.07,0.5,0.006999999999999999,0.061,0.475,0.377,0.0,0.047,0.017,0.016,0.547,0.034,0.111,0.155,0.003,0.0,0.119,0.031,0.03,0.049,0.301,0.14,0.4370000000000001,0.017,0.0,0.026,0.011,0.031,0.133,0.547,0.131,0.101,0.044,0.0
9.0,0.043,0.0,0.061,0.208,0.0,0.674,0.0,0.014,0.017,0.045,0.0,0.518,0.273,0.06,0.036000000000000004,0.051,0.006,0.091,0.146,0.0,0.069,0.053,0.07,0.5660000000000001,0.014,0.097,0.339,0.446,0.0,0.051,0.026,0.026,0.243,0.018000000000000002,0.092,0.152,0.081,0.0,0.31,0.103,0.009000000000000001,0.04,0.38,0.142,0.383,0.016,0.0,0.031,0.006,0.024,0.051,0.624,0.211,0.046,0.037000000000000005,0.0
