TIME,P1_TO_LAPTOP,P1_TO_P1,P1_TO_P2,P1_TO_P3,P1_TO_P4,P1_TO_P5,P1_TO_P6,P2_TO_LAPTOP,P2_TO_P1,P2_TO_P2,P2_TO_P3,P2_TO_P4,P2_TO_P5,P2_TO_P6,P3_TO_LAPTOP,P3_TO_P1,P3_TO_P2,P3_TO_P3,P3_TO_P4,P3_TO_P5,P3_TO_P6,P4_TO_LAPTOP,P4_TO_P1,P4_TO_P2,P4_TO_P3,P4_TO_P4,P4_TO_P5,P4_TO_P6,P5_TO_LAPTOP,P5_TO_P1,P5_TO_P2,P5_TO_P3,P5_TO_P4,P5_TO_P5,P5_TO_P6,P6_TO_LAPTOP,P6_TO_P1,P6_TO_P2,P6_TO_P3,P6_TO_P4,P6_TO_P5,P6_TO_P6
0.0,0.5489999999999999,0.0,0.091,0.051,0.046,0.051,0.011,0.087,0.069,0.0,0.03,0.08,0.0,0.534,0.279,0.11,0.117,0.0,0.06,0.061,0.173,0.029,0.063,0.034,0.071,0.0,0.5429999999999999,0.06,0.197,0.091,0.019,0.194,0.08,0.0,0.219,0.16399999999999998,0.294,0.114,0.109,0.041,0.077,0.0
1.0,0.68,0.0,0.114,0.073,0.057,0.061,0.014,0.049,0.053,0.0,0.05,0.1,0.0,0.7490000000000001,0.319,0.14400000000000002,0.194,0.0,0.08,0.08,0.183,0.043,0.071,0.043,0.086,0.0,0.6859999999999999,0.071,0.33,0.08900000000000001,0.029,0.183,0.096,0.0,0.274,0.104,0.636,0.107,0.057,0.043,0.053,0.0
2.0,0.6759999999999999,0.0,0.114,0.07,0.057,0.069,0.014,0.081,0.056,0.0,0.139,0.116,0.006,0.603,0.139,0.104,0.563,0.0,0.069,0.034,0.091,0.043,0.071,0.043,0.086,0.0,0.677,0.08,0.226,0.02,0.03,0.18,0.073,0.0,0.471,0.113,0.59,0.117,0.07400000000000001,0.044,0.061,0.0
3.0,0.6809999999999999,0.0,0.114,0.069,0.054000000000000006,0.066,0.016,0.019,0.043,0.0,0.637,0.157,0.043,0.101,0.129,0.081,0.623,0.0,0.053,0.037000000000000005,0.077,0.109,0.117,0.049,0.097,0.0,0.523,0.106,0.237,0.059,0.04,0.181,0.084,0.0,0.399,0.141,0.506,0.14400000000000002,0.103,0.049,0.057,0.0
4.0,0.68,0.0,0.113,0.071,0.051,0.069,0.016,0.016,0.043,0.0,0.643,0.156,0.043,0.1,0.133,0.08900000000000001,0.584,0.0,0.056,0.049,0.09,0.094,0.096,0.044,0.097,0.0,0.563,0.106,0.274,0.066,0.033,0.221,0.08900000000000001,0.0,0.317,0.129,0.5710000000000001,0.117,0.079,0.046,0.059,0.0
5.0,0.434,0.0,0.146,0.069,0.043,0.254,0.054000000000000006,0.026,0.043,0.0,0.639,0.156,0.037000000000000005,0.1,0.131,0.09,0.62,0.0,0.051,0.03,0.077,0.14300000000000002,0.139,0.056,0.109,0.0,0.431,0.123,0.486,0.106,0.043,0.129,0.077,0.0,0.16,0.194,0.396,0.14,0.119,0.054000000000000006,0.097,0.0
6.0,0.606,0.0,0.121,0.071,0.056,0.121,0.024,0.016,0.043,0.0,0.643,0.157,0.041,0.1,0.129,0.08,0.643,0.0,0.047,0.029,0.073,0.06,0.081,0.044,0.087,0.0,0.643,0.084,0.239,0.041,0.031,0.171,0.07,0.0,0.447,0.106,0.601,0.129,0.057,0.049,0.059,0.0
7.0,0.66,0.0,0.106,0.08,0.057,0.08,0.017,0.027000000000000003,0.044,0.0,0.643,0.157,0.029,0.1,0.141,0.1,0.557,0.0,0.066,0.04,0.096,0.043,0.071,0.043,0.086,0.0,0.677,0.08,0.126,0.024,0.029,0.171,0.08900000000000001,0.0,0.561,0.103,0.63,0.099,0.056,0.043,0.07,0.0
8.0,0.44,0.0,0.129,0.061,0.057,0.259,0.054000000000000006,0.256,0.114,0.0,0.337,0.12,0.02,0.153,0.173,0.099,0.523,0.0,0.057,0.047,0.101,0.063,0.079,0.041,0.087,0.0,0.647,0.083,0.166,0.029,0.027000000000000003,0.16399999999999998,0.079,0.0,0.536,0.161,0.607,0.079,0.044,0.039,0.07,0.0
9.0,0.411,0.0,0.099,0.079,0.047,0.06,0.304,0.436,0.181,0.0,0.057,0.027000000000000003,0.01,0.289,0.151,0.077,0.536,0.0,0.044,0.037000000000000005,0.154,0.117,0.14400000000000002,0.024,0.126,0.0,0.13,0.459,0.119,0.029,0.013,0.187,0.08,0.0,0.573,0.727,0.096,0.029,0.06,0.046,0.043,0.0
